1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-91.66 -53.58 -13.39 62.73 0 1.2)_mu=0_UNSTABLE(seg=0.00).png,-138.123085,-99.828666,-22.851797,-22.550681,69.028149,23.331042
0.32,-109.970455048115,-71.5534416750897,-17.0237117729934,30.0897589577094,32.8885736375294,11.7592523542812,1
0.33,-110.522377288522,-72.1240259015339,-17.1461640552065,29.0884624283653,33.6156635693284,11.9940779437627,1
0.34,-111.074129668432,-72.6943205479088,-17.2684660147294,28.0857930630089,34.3412497197003,12.2282698605973,1
0.35,-111.625729706244,-73.2642993834569,-17.3906030450194,27.0817240717938,35.0654485038926,12.4618719796048,1
0.36,-112.177194079327,-73.8339371909055,-17.5125613058962,26.0762349773275,35.7883641330435,12.6949238961658,1
0.37,-112.728538682275,-74.4032096388337,-17.6343276303318,25.0693108319785,36.510090046208,12.9274614247961,1
0.38,-113.279778677537,-74.9720931689733,-17.7558894429366,24.0609415459376,37.2307101419581,13.1595170284259,1
0.39,-113.830928539606,-75.5405648962762,-17.8772346883938,23.0511213090587,37.9502998416021,13.3911201893921,1
0.4,-114.382002093712,-76.1086025199378,-17.9983517683846,22.0398480924058,38.6689270103015,13.6222977311838,1
0.41,-114.933012549817,-76.6761842438469,-18.1192294857902,21.0271232177953,39.3866527577483,13.8530740983983,1
0.42,-115.483972532543,-77.2432887051719,-18.2398569951461,20.0129509855525,40.1035321363467,14.0834716010969,1
0.43,-116.034894107589,-77.8098949099966,-18.3602237584934,18.9973383522744,40.8196147518271,14.3135106287104,1
0.44,-116.585788805074,-78.3759821750693,-18.4803195058965,17.9802946517012,41.5349452987723,14.5432098378077,1
0.45,-117.136667640186,-78.9415300748758,-18.6001342000108,16.9618313528622,42.2495640315284,14.7725863173485,1
0.46,-117.687541131455,-79.5065183933531,-18.7196580041761,15.9419618505747,42.9635071793174,15.0016557344725,1
0.47,-118.238419316908,-80.0709270796593,-18.8388812535831,14.9207012840992,43.6768073130185,15.2304324634119,1
0.48,-118.789311768353,-80.6347362074915,-18.9577944291295,13.898066380382,44.3894936699442,15.4589296997216,1
0.49,-119.340227603949,-81.1979259375265,-19.0763881336343,12.8740753188362,45.1015924420096,15.6871595617,1
0.5,-119.891175499263,-81.7604764825879,-19.1946530701229,11.8487476150591,45.8131270318986,15.9151331805983,1
0.51,-120.442163696927,-82.3223680752262,-19.3125800219355,10.8221040212351,46.52411828118,16.1428607809931,1
0.52,-120.993200015026,-82.8835809374138,-19.4301598344458,9.79416644130995,47.2345846737677,16.3703517525012,1
0.53,-121.544291854318,-83.4440952521081,-19.5473833982009,8.7649578592691,47.9445425176566,16.5976147138559,1
0.54,-122.09544620437,-84.0038911364628,-19.6642416333218,7.73450227909049,48.6540061074635,16.8246575702246,1
0.55,-122.646669648695,-84.5629486164902,-19.780725475021,6.70282467514152,49.3629878699705,17.0514875645316,1
0.56,-123.197968368946,-85.1212476030075,-19.8968258601138,5.66995095193923,50.0714984945799,17.2781113234508,1
0.57,-123.749348148227,-85.6787678687179,-20.0125337144139,4.63590791235643,50.7795470503445,17.504534898645,1
0.58,-124.300814373566,-86.2354890262907,-20.1278399409179,3.6007232334678,51.4871410910244,17.7307638037565,1
0.59,-124.852372037607,-86.7913905073268,-20.2427354086946,2.56442544934255,52.1942867494449,17.9568030475925,1
0.6,-125.404025739526,-87.346451542105,-20.3572109424059,1.52704394018106,52.9009888222715,18.182657163889,1
0.61,-125.955779685237,-87.9006511400174,-20.4712573123937,0.488608927275163,53.6072508461829,18.4083302379964,1
0.62,-126.507637686887,-88.4539680706146,-20.5848652252758,-0.550848526655405,54.3130751663083,18.6338259307822,1
0.63,-127.059603161676,-89.0063808451904,-20.6980253150023,-1.59129651214476,55.0184629976942,18.8591475000165,1
0.64,-127.611679130015,-89.5578676988412,-20.8107281343254,-2.63270226300741,55.7234144804761,19.0842978194717,1
0.65,-128.163868213039,-90.108406572949,-20.9229641466482,-3.6750321420047,56.4279287293544,19.30927939594,1
0.66,-128.716172629491,-90.6579750980355,-21.0347237182162,-4.71825162238718,57.1320038779103,19.5340943843527,1
0.67,-129.268594191976,-91.2065505769542,-21.1459971106231,-5.76232526552834,57.8356371182332,19.7587446011586,1
0.68,-129.821134302609,-91.754109968375,-21.2567744736078,-6.80721669482556,58.5388247362857,19.983231536107,1
0.69,-130.373793948053,-92.3006298705426,-21.3670458381183,-7.8528885660096,59.2415621433851,20.2075563625582,1
0.7,-130.926573693949,-92.8460865052768,-21.4768011096289,-8.89930253399116,59.9438439041389,20.431719946436,1
0.71,-131.479473678755,-93.3904557022,-21.5860300616915,-9.94641921634248,60.6456637611433,20.6557228539198,1
0.72,-132.032493606983,-93.9337128831761,-21.6947223297142,-10.9941981534935,61.3470146567171,20.8795653579656,1
0.73,-132.585632741837,-94.4758330469515,-21.8028674049551,-12.0425977657027,62.0478887519198,21.1032474437329,1
0.74,-133.138889897263,-95.0167907539926,-21.9104546287271,-13.0915753068596,62.7482774430822,21.3267688129904,1
0.75,-133.692263429396,-95.5565601115222,-22.0174731868096,-14.141086815139,63.4481713760504,21.550128887557,1
0.76,-134.245751227415,-96.0951147587586,-22.1239121040672,-15.1910870605446,64.1475604583377,21.7733268118401,1
0.77,-134.799350703806,-96.6324278523624,-22.2297602392766,-16.241529489343,64.8464338693454,21.9963614545134,1
0.78,-135.353058784016,-97.1684720521124,-22.3350062801656,-17.2923661653981,65.5447800688236,22.2192314093835,1
0.79,-135.906871895525,-97.7032195068239,-22.4396387386718,-18.3435477084053,66.2425868037117,22.4419349954802,1
0.8,-136.460785956312,-98.2366418405375,-22.5436459464298,-19.3950232290138,66.9398411134979,22.6644702564083,1
0.81,-137.014796362731,-98.7687101390034,-22.647016050498,-20.4467402608245,67.6365293342257,22.8868349589885,1
0.82,-137.568897976793,-99.2993949365005,-22.7497370093409,-21.4986446892565,68.3326371012742,23.109026591219,1
0.83,-138.123085112865,-99.8286662030322,-22.8517965890827,-22.5506806772611,69.028149351023,23.3310423595801,1
0.84,-138.677351523781,-100.356493331939,-22.9531823600518,-23.6027905878663,69.7230503215195,23.5528791857049,1
0.85,-139.231690386378,-100.882845127991,-23.0538816936399,-24.6549149035489,70.4173235522521,23.7745337024382,1
0.86,-139.786094286477,-101.407689796018,-23.1538817594999,-25.7069921424167,71.1109518831445,23.9960022493007,1
0.87,-140.340555203301,-101.930994930138,-23.2531695231126,-26.7589587712017,71.8039174528702,24.2172808673782,1
0.88,-140.89506449337,-102.452727503672,-23.3517317437521,-27.8107491150631,72.4962016965942,24.4383652936505,1
0.89,-141.449612873875,-102.972853859824,-23.4495549728863,-28.8622952642251,73.1877853432548,24.6592509547788,1
0.9,-142.004190405561,-103.491339703211,-23.5466255530509,-29.9135269774597,73.8786484124842,24.8799329603657,1
0.91,-142.558786475158,-104.008150092365,-23.6429296172377,-30.9643715824632,74.5687702112896,25.1004060957048,1
0.92,-143.113389777377,-104.523249433294,-23.7384530888447,-32.014753873182,75.2581293306022,25.3206648140371,1
