1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-56.22 0.09 10.33 67.06 -0.72 0.82)_mu=0.0325_STABLE=0.0325-3.313(seg=1.59).png,-136.503193,76.384307,33.486974,0.074192,-107.824531,-24.549266
0.58,-87.0914296258599,27.0853573722723,18.8951864495127,41.8114099476425,-50.3905909140372,-10.0236159613667,0
0.59,-87.6014416554496,27.5750469869672,19.0417411942072,41.3811738092292,-51.0036228861196,-10.1738526303074,0
0.6,-88.110688311216,28.0646800779382,19.1882089145564,40.9515305453728,-51.6148195196183,-10.3238478671921,0
0.61,-88.61918901317,28.5542564665607,19.334592425509,40.5224674556379,-52.224244115784,-10.4736092652255,0
0.62,-89.1269624280569,29.0437760669053,19.480894410583,40.0939722962253,-52.8319568036208,-10.6231440340594,0
0.63,-89.6340265114255,29.533238878709,19.6271174300524,39.6660332534352,-53.4380147440796,-10.7724590249222,0
0.64,-90.1403985468168,30.0226449809559,19.7732639285307,39.2386389188528,-54.0424723182988,-10.9215607537245,0
0.65,-90.6460951823069,30.5119945260167,19.9193362420014,38.8117782661244,-54.6453813013566,-11.0704554223338,0
0.66,-91.1511324646244,31.0012877342891,20.0653366043448,38.3854406292142,-55.24679102285,-11.2191489381886,0
0.67,-91.655525871033,31.490524889296,20.2112671534004,37.959615682022,-55.8467485154763,-11.3676469324083,0
0.68,-92.1592903391571,31.9797063331964,20.3571299366061,37.5342934192845,-56.4452986526664,-11.5159547765311,0
0.69,-92.6624402949128,32.4688324626716,20.502926916247,37.1094641386507,-57.0424842762273,-11.664077598007,0
0.7,-93.1649896786863,32.9579037251559,20.6486599743455,36.6851184238585,-57.6383463148384,-11.8120202945525,0
0.71,-93.6669519698951,33.4469206153762,20.7943309172226,36.2612471289299,-58.2329238941802,-11.9597875474675,0
0.72,-94.1683402100512,33.9358836721764,20.9399414797539,35.8378413633194,-58.8262544393831,-12.1073838340025,0
0.73,-94.6691670244387,34.4247934755999,21.085493329346,35.4148924779472,-59.4183737704319,-12.2548134388566,0
0.74,-95.1694446425032,34.9136506442101,21.2309880696547,34.9923920520531,-60.0093161910913,-12.4020804648778,0
0.75,-95.6691849170495,35.4024558326253,21.3764272440631,34.570331880821,-60.5991145718729,-12.5491888430323,0
0.76,-96.1683993423281,35.8912097292525,21.5218123389391,34.14870396372,-61.1878004275097,-12.6961423417005,0
0.77,-96.6670990710921,36.3799130542003,21.667144786688,33.7275004935125,-61.7754039893686,-12.8429445753546,0
0.78,-97.165294930692,36.8685665573619,21.8124259686156,33.3067138458854,-62.3619542731875,-12.9895990126654,0
0.79,-97.6629974382768,37.3571710166443,21.9576572176151,32.886336569666,-62.9474791424924,-13.1361089840837,0
0.8,-98.16021681516,37.8457272363443,22.102839820691,32.4663613775814,-63.5320053680183,-13.2824776889353,0
0.81,-98.6569630004075,38.3342360456475,22.247975021331,32.0467811375256,-64.1155586834296,-13.4287082020682,0
0.82,-99.1532456636976,38.8226982972474,22.3930640217374,31.627588864304,-64.6981638376109,-13.5748034800836,0
0.83,-99.649076714247,39.3111033543543,22.538108921514,31.2087556067032,-65.2798572982719,-13.7207695392073,0
0.84,-100.144460087941,39.799476326263,22.6831088927262,30.7903209492319,-65.8606355875357,-13.8666024999926,0
0.85,-100.639407473672,40.2878053190699,22.8280660519325,30.3722538649249,-66.4405346394562,-14.0123084702024,0
0.86,-101.133927574867,40.776091284991,22.9729814546455,29.9545479162689,-67.0195757063353,-14.1578899838958,0
0.87,-101.628028883453,41.2643351835484,23.1178561249607,29.537196767249,-67.5977792847636,-14.3033494850779,0
0.88,-102.121719686358,41.752537991135,23.2626910567056,29.1201941851274,-68.1751651417788,-14.4486893299511,0
0.89,-102.615008074425,42.2407007002486,23.4074872149109,28.7035340350147,-68.7517523489635,-14.5939117909453,0
0.9,-103.107901950892,42.7288243187982,23.5522455372016,28.2872102746963,-69.3275593146273,-14.7390190605191,0
0.91,-103.600409039459,43.2169098694604,23.6969669351136,27.8712169497129,-69.9026038141956,-14.8840132547462,0
0.92,-104.092536891978,43.7049583890998,23.8416522953394,27.4555481886711,-70.4769030189252,-15.0288964167035,0
0.93,-104.584292895775,44.1929709282312,23.986302480909,27.0401981987748,-71.0504735230564,-15.1736705196717,0
0.94,-105.07568428064,44.6809485505346,24.1309183323092,26.6251612615591,-71.6233313694981,-15.3183374701627,0
