2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 -53.27 0 -9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,-0.000000,15.114552,-80.976651,0.000000,-15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 -53.27 0 -9.94)_mu=0_STABLE=0-1.06(seg=1.50).png,-213.096450,-0.000000,39.775137,-213.096450,0.000000,-39.775137
0.97,-156.625891035792,-4.71319170432423e-10,29.234725913938,-156.625891035792,4.71066007815685e-10,-29.2347259139381,0
0.98,-157.691373287659,-4.61937908822867e-10,29.4336016004145,-157.691373287659,4.61422721103992e-10,-29.4336016004146,0
0.99,-158.756855539527,-4.52425019973821e-10,29.6324772868913,-158.756855539527,4.52042706110094e-10,-29.6324772868914,0
1,-159.822337791397,-4.43294965513964e-10,29.8313529733684,-159.822337791397,4.43470344973183e-10,-29.8313529733684,0
1.01,-160.887820043268,-4.34970257403612e-10,30.0302286598456,-160.887820043268,4.33750899238826e-10,-30.0302286598459,0
1.02,-161.95330229514,-4.24602991004955e-10,30.2291043463235,-161.95330229514,4.26987026899001e-10,-30.2291043463229,0
1.03,-163.018784547014,-4.17382216462425e-10,30.427980032801,-163.018784547014,4.17609909543828e-10,-30.427980032801,0
1.04,-164.084266798889,-4.09356233264067e-10,30.626855719279,-164.084266798889,4.09758306603968e-10,-30.6268557192789,0
1.05,-165.149749050766,-4.01310245017744e-10,30.8257314057573,-165.149749050766,4.01907892708629e-10,-30.8257314057571,0
1.06,-166.215231302644,-3.9065847551225e-10,31.0246070922364,-166.215231302644,3.97320153340541e-10,-31.0246070922347,0
1.07,-167.280713554523,-3.9771784932259e-10,31.2234827787113,-167.280713554523,3.74995393461267e-10,-31.2234827787171,1
1.07,-167.280713536463,1.99934799535511e-07,31.2234828326859,-167.280713537153,1.99386802351856e-07,-31.2234827327982,1
1.07,-167.280713537153,-1.99396641051806e-07,31.2234827327958,-167.280713536464,-1.99944583239957e-07,-31.2234828326884,1
1.08,-168.346195806403,-3.8393129691075e-10,31.4223584651917,-168.346195806403,3.74256076108269e-10,-31.4223584651942,1
1.09,-169.411678058285,-3.71234213075028e-10,31.6212341516722,-169.411678058285,3.72847402474799e-10,-31.6212341516718,1
1.1,-170.477160310167,-3.65070912302506e-10,31.8201098381511,-170.477160310167,3.64809392113322e-10,-31.8201098381512,1
1.11,-171.54264256205,-3.56784202008853e-10,32.0189855246308,-171.542642562051,3.5990186254397e-10,-32.0189855246301,1
1.12,-172.608124813935,-3.51742207192404e-10,32.21786121111,-172.608124813935,3.52039844324359e-10,-32.2178612111099,1
1.13,-173.673607065821,-3.45722917525007e-10,32.4167368975895,-173.673607065821,3.44837600531681e-10,-32.4167368975897,1
1.14,-174.739089317707,-3.37964262695292e-10,32.6156125840697,-174.739089317707,3.39431823793979e-10,-32.6156125840693,1
1.15,-175.804571569595,-3.33080959731905e-10,32.8144882705494,-175.804571569595,3.32801049847571e-10,-32.8144882705495,1
1.16,-176.870053821483,-3.27206470035132e-10,33.0133639570296,-176.870053821483,3.2673851471654e-10,-33.0133639570296,1
1.17,-177.935536073372,-3.20435660969808e-10,33.21223964351,-177.935536073372,3.21449574749132e-10,-33.2122396435097,1
1.18,-179.001018325263,-3.15167929297935e-10,33.4111153299904,-179.001018325263,3.1553733649374e-10,-33.4111153299903,1
1.19,-180.066500577153,-3.09045447110905e-10,33.609991016471,-180.066500577154,3.10329422857809e-10,-33.6099910164707,1
1.2,-181.131982829045,-3.04763807072728e-10,33.8088667029514,-181.131982829045,3.04133054461128e-10,-33.8088667029516,1
1.21,-182.197465080938,-2.98810262666128e-10,34.0077423894324,-182.197465080938,2.99012029546242e-10,-34.0077423894323,1
1.22,-183.262947332831,-2.93903499844553e-10,34.2066180759133,-183.262947332831,2.93769583962697e-10,-34.2066180759133,1
1.23,-184.328429584725,-2.88639974443429e-10,34.4054937623944,-184.328429584725,2.89010780585297e-10,-34.4054937623943,1
1.24,-185.39391183662,-2.83832015833194e-10,34.6043694488756,-185.39391183662,2.83807973216338e-10,-34.6043694488756,1
1.25,-186.459394088515,-2.78735988175176e-10,34.8032451353569,-186.459394088515,2.78769024574313e-10,-34.8032451353568,1
1.26,-187.524876340412,-2.74324306001085e-10,35.0021208218382,-187.524876340412,2.7392258958054e-10,-35.0021208218383,1
1.27,-188.590358592308,-2.69569883450983e-10,35.2009965083198,-188.590358592308,2.69283849450679e-10,-35.2009965083199,1
1.28,-189.655840844206,-2.65021056640967e-10,35.3998721948015,-189.655840844206,2.65012317429356e-10,-35.3998721948015,1
1.29,-190.721323096104,-2.60796669850072e-10,35.5987478812832,-190.721323096104,2.6033298162597e-10,-35.5987478812832,1
1.3,-191.786805348003,-2.56420570540761e-10,35.797623567765,-191.786805348003,2.5607691184551e-10,-35.7976235677651,1
1.31,-192.852287599902,-2.51803703105527e-10,35.996499254247,-192.852287599902,2.51818011755278e-10,-35.996499254247,1
1.32,-193.917769851802,-2.47700961846821e-10,36.195374940729,-193.917769851802,2.4769652464101e-10,-36.195374940729,1
1.33,-194.983252103702,-2.43754231100783e-10,36.3942506272111,-194.983252103702,2.43686164779974e-10,-36.3942506272111,1
1.34,-196.048734355603,-2.39698615556866e-10,36.5931263136933,-196.048734355603,2.39692318944329e-10,-36.5931263136934,1
1.35,-197.114216607504,-2.35706916766783e-10,36.7920020001756,-197.114216607504,2.35646386084754e-10,-36.7920020001756,1
1.36,-198.179698859406,-2.32267150282982e-10,36.990877686658,-198.179698859406,2.32124654892495e-10,-36.9908776866581,1
1.37,-199.245181111309,-2.28563581256003e-10,37.1897533731404,-199.245181111309,2.28368180919467e-10,-37.1897533731405,1
1.38,-200.310663363212,-2.24833088561735e-10,37.3886290596229,-200.310663363212,2.24216315761368e-10,-37.388629059623,1
1.39,-201.376145615115,-2.20991798970636e-10,37.5875047461057,-201.376145615115,2.20930878517926e-10,-37.5875047461056,1
1.4,-202.441627867019,-2.17404299207233e-10,37.7863804325883,-202.441627867019,2.1725670535603e-10,-37.7863804325884,1
1.41,-203.507110118923,-2.14087355916021e-10,37.9852561190712,-203.507110118923,2.14319769613683e-10,-37.9852561190711,1
1.42,-204.572592370828,-2.10643318000921e-10,38.184131805554,-204.572592370828,2.10512981720958e-10,-38.184131805554,1
1.43,-205.638074622733,-2.07411914032729e-10,38.3830074920368,-205.638074622733,2.07347558177015e-10,-38.3830074920368,1
1.44,-206.703556874639,-2.03926926018415e-10,38.5818831785199,-206.703556874639,2.04177993306034e-10,-38.5818831785198,1
1.45,-207.769039126544,-2.01080257262662e-10,38.7807588650029,-207.769039126544,2.00958901212453e-10,-38.7807588650029,1
1.46,-208.834521378451,-1.97849228753683e-10,38.9796345514859,-208.834521378451,1.97516744713383e-10,-38.979634551486,1
1.47,-209.900003630358,-1.94574654240227e-10,39.1785102379691,-209.900003630358,1.946733149032e-10,-39.1785102379691,1
1.48,-210.965485882265,-1.91531360216324e-10,39.3773859244524,-210.965485882265,1.91419265204232e-10,-39.3773859244524,1
1.49,-212.030968134172,-1.88524306842658e-10,39.5762616109356,-212.030968134172,1.88432042430402e-10,-39.5762616109357,1
1.5,-213.09645038608,-1.85177776975201e-10,39.7751372974191,-213.09645038608,1.85546920167777e-10,-39.775137297419,1
1.51,-214.161932637988,-1.82641937598177e-10,39.9740129839025,-214.161932637988,1.827096516617e-10,-39.9740129839025,1
1.52,-215.227414889897,-1.79776399929915e-10,40.1728886703859,-215.227414889897,1.79724376548653e-10,-40.1728886703859,1
1.53,-216.292897141805,-1.77136796116611e-10,40.3717643568694,-216.292897141805,1.77118745993583e-10,-40.3717643568694,1
1.54,-217.358379393714,-1.7456186648078e-10,40.570640043353,-217.358379393714,1.74473896810169e-10,-40.5706400433529,1
1.55,-218.423861645624,-1.71873361246369e-10,40.7695157298366,-218.423861645624,1.71691237941217e-10,-40.7695157298366,1
1.56,-219.489343897534,-1.68887185703417e-10,40.9683914163203,-219.489343897534,1.68844919924867e-10,-40.9683914163203,1
1.57,-220.554826149444,-1.66509184587084e-10,41.167267102804,-220.554826149444,1.66799703606516e-10,-41.167267102804,1
1.58,-221.620308401354,-1.64025553881474e-10,41.3661427892878,-221.620308401354,1.63878458004328e-10,-41.3661427892878,1
1.59,-222.685790653265,-1.61579813006026e-10,41.5650184757717,-222.685790653265,1.61717039932896e-10,-41.5650184757716,1
1.6,-223.751272905175,-1.59365798227222e-10,41.7638941622554,-223.751272905175,1.59359041479283e-10,-41.7638941622554,1
1.61,-224.816755157087,-1.56694430976552e-10,41.9627698487394,-224.816755157087,1.56772120350583e-10,-41.9627698487394,1
1.62,-225.882237408998,-1.54276806932883e-10,42.1616455352233,-225.882237408998,1.54263940055181e-10,-42.1616455352233,1
1.63,-226.947719660909,-1.52032512664227e-10,42.3605212217073,-226.947719660909,1.52010751967684e-10,-42.3605212217073,1
1.64,-228.013201912821,-1.49720698837917e-10,42.5593969081914,-228.013201912821,1.49790544659752e-10,-42.5593969081914,1
1.65,-229.078684164734,-1.47279722272076e-10,42.7582725946755,-229.078684164734,1.47372391091742e-10,-42.7582725946755,1
1.66,-230.144166416646,-1.44994156113e-10,42.9571482811596,-230.144166416646,1.44923996848317e-10,-42.9571482811596,1
1.67,-231.209648668558,-1.43095997399457e-10,43.1560239676437,-231.209648668558,1.42981682266577e-10,-43.1560239676437,1
1.68,-232.275130920471,-1.40863281325801e-10,43.3548996541279,-232.275130920471,1.40980463414486e-10,-43.354899654128,1
1.69,-233.340613172384,-1.38741340464932e-10,43.5537753406122,-233.340613172384,1.38762121042711e-10,-43.5537753406122,1
1.7,-234.406095424298,-1.36710348662243e-10,43.7526510270964,-234.406095424298,1.36675089431812e-10,-43.7526510270965,1
1.71,-235.471577676211,-1.3459441471509e-10,43.9515267135807,-235.471577676211,1.3435678177659e-10,-43.9515267135807,1
1.72,-236.537059928125,-1.33216648216111e-10,44.1504024000651,-236.537059928125,1.33280306496147e-10,-44.150402400065,1
1.73,-237.602542180039,-1.30688863268606e-10,44.3492780865495,-237.602542180039,1.30747520557702e-10,-44.3492780865495,1
1.74,-238.668024431953,-1.28951338973157e-10,44.5481537730338,-238.668024431953,1.28967161602822e-10,-44.5481537730338,1
1.75,-239.733506683867,-1.27229489205356e-10,44.7470294595183,-239.733506683867,1.2717900105437e-10,-44.7470294595183,1
1.76,-240.798988935782,-1.25091830774013e-10,44.9459051460028,-240.798988935782,1.25195842842069e-10,-44.9459051460028,1
1.77,-241.864471187697,-1.23454389181106e-10,45.1447808324873,-241.864471187697,1.23502531443852e-10,-45.1447808324873,1
1.78,-242.929953439612,-1.21958341212439e-10,45.3436565189718,-242.929953439612,1.21825855393248e-10,-45.3436565189719,1
1.79,-243.995435691527,-1.20315894400203e-10,45.5425322054564,-243.995435691527,1.20190745160273e-10,-45.5425322054563,1
1.8,-245.060917943442,-1.18552084056762e-10,45.7414078919409,-245.060917943442,1.18635184683837e-10,-45.7414078919409,1
1.81,-246.126400195358,-1.17028051528981e-10,45.9402835784255,-246.126400195358,1.17161065029368e-10,-45.9402835784255,1
1.82,-247.191882447274,-1.15458706722964e-10,46.1391592649103,-247.191882447274,1.15458713119757e-10,-46.1391592649102,1
1.83,-248.257364699189,-1.1358903899937e-10,46.3380349513949,-248.257364699189,1.13516966226274e-10,-46.3380349513949,1
1.84,-249.322846951105,-1.12028129394676e-10,46.5369106378796,-249.322846951105,1.12105701566452e-10,-46.5369106378796,1
1.85,-250.388329203021,-1.10843537148332e-10,46.7357863243643,-250.388329203022,1.10696489301343e-10,-46.7357863243642,1
1.86,-251.453811454938,-1.08960473890057e-10,46.934662010849,-251.453811454938,1.08937373119629e-10,-46.934662010849,1
1.87,-252.519293706854,-1.07778932154946e-10,47.1335376973338,-252.519293706854,1.07643694196961e-10,-47.1335376973338,1
1.88,-253.584775958771,-1.06573257814199e-10,47.3324133838186,-253.584775958771,1.06585738932768e-10,-47.3324133838185,1
1.89,-254.650258210687,-1.05013098368988e-10,47.5312890703034,-254.650258210687,1.04896514326221e-10,-47.5312890703034,1
1.9,-255.715740462604,-1.03975874568216e-10,47.7301647567881,-255.715740462604,1.03885707978743e-10,-47.7301647567881,1
1.91,-256.781222714521,-1.02691320291032e-10,47.929040443273,-256.781222714521,1.02523267653254e-10,-47.929040443273,1
1.92,-257.846704966438,-1.01076531313585e-10,48.1279161297579,-257.846704966438,1.01088633503495e-10,-48.1279161297579,1
1.93,-258.912187218356,-9.96385464370128e-11,48.3267918162428,-258.912187218356,9.97372140388794e-11,-48.3267918162428,1
1.94,-259.977669470273,-9.83929879846274e-11,48.5256675027277,-259.977669470273,9.85792538636503e-11,-48.5256675027277,1
1.95,-261.04315172219,-9.69992202336754e-11,48.7245431892127,-261.04315172219,9.70291036102647e-11,-48.7245431892126,1
1.96,-262.108633974108,-9.60820782745092e-11,48.9234188756976,-262.108633974108,9.59225579825682e-11,-48.9234188756976,1
1.97,-263.174116226025,-9.49057004859255e-11,49.1222945621826,-263.174116226025,9.49713215513646e-11,-49.1222945621826,1
1.98,-264.239598477943,-9.38669153798151e-11,49.3211702486676,-264.239598477943,9.38938825236109e-11,-49.3211702486676,1
1.99,-265.305080729861,-9.30723632929301e-11,49.5200459351525,-265.305080729861,9.29574629077168e-11,-49.5200459351525,1
2,-266.370562981779,-9.19179087770054e-11,49.7189216216376,-266.370562981779,9.18338596356608e-11,-49.7189216216375,1
