1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(64.73 0.37 1.34 64.73 0.37 -1.15)_mu=0.016_STABLE=0.016-9.92(seg=2.47).png,44.296395,27.385257,39.275345,44.296395,27.385257,-25.582716
0.37,53.8604628507611,19.3060078426673,11.0035747345271,53.8604629677478,19.3060078578908,-1.35057080531626,0
0.38,53.7275646379529,19.4482058034422,11.1639766963993,53.7275647538764,19.4482058199829,-1.43987378585346,0
0.39,53.5977333195367,19.5863316944615,11.3233059761873,53.5977334345975,19.5863317121986,-1.53014011926323,0
0.4,53.470834701097,19.7205810268597,11.481617858342,53.4708348154553,19.7205810456652,-1.62132733443481,0
0.41,53.346743347754,19.8511357775158,11.6389635868736,53.3467434615229,19.8511357972601,-1.71339568694092,0
0.42,53.2253418274916,19.9781656260844,11.7953907481506,53.2253419407394,19.9781656466377,-1.8063079233232,0
0.43,53.1065200354213,20.1018290515569,11.9509436093016,53.1065201481701,20.1018290727935,-1.90002907121284,0
0.44,52.9901745886983,20.2222743073267,12.1056634182822,52.9901747009298,20.2222743291244,-1.99452625186625,0
0.45,52.8762082833378,20.3396402907593,12.2595886707173,52.876208394996,20.3396403130024,-2.08976851222164,0
0.46,52.7645296053984,20.4540573208635,12.4127553478543,52.764529716397,20.454057343442,-2.18572667401812,0
0.47,52.6550522900838,20.5656478356172,12.5651971293116,52.6550524003101,20.5656478584291,-2.28237319788036,0
0.48,52.5476949231679,20.6745270188472,12.7169455837706,52.5476950324907,20.6745270417968,-2.37968206057163,0
0.49,52.4423805799363,20.7808033651315,12.8680303403043,52.4423806882102,20.7808033881306,-2.47762864387111,0
0.5,52.3390364974287,20.8845791900379,13.0184792426652,52.3390366045003,20.8845792130054,-2.57618963374252,0
0.51,52.2375937763446,20.9859510920015,13.1683184885292,52.2375938820563,20.985951114863,-2.67534292863949,0
0.52,52.1379871094143,21.0850103713092,13.3175727554277,52.1379872136086,21.0850103939975,-2.77506755594536,0
0.53,52.0401545334466,21.1818434109425,13.4662653148698,52.0401546359699,21.1818434333972,-2.87534359567366,0
0.54,51.9440372025902,21.2765320234258,13.6144181359616,51.9440373032963,21.2765320455915,-2.97615211066453,0
0.55,51.8495791806675,21.3691537672913,13.7620519796637,51.8495792794192,21.3691537891195,-3.07747508260809,0
0.56,51.7567272506513,21.4597822363514,13.9091864846874,51.7567273473206,21.459782257799,-3.17929535330563,0
0.57,51.6654307396132,21.5484873245559,14.0558402459033,51.6654308340866,21.548487345585,-3.28159657064936,0
0.58,51.5756413576522,21.6353354688995,14.2020308860354,51.5756414498273,21.635335489477,-3.38436313886239,0
0.59,51.4873130494647,21.72038987255,14.3477751213178,51.4873131392539,21.7203898926478,-3.48758017259184,0
0.6,51.4004018573828,21.8037107101212,14.4930888217174,51.4004019447113,21.8037107297153,-3.59123345449493,0
0.61,51.314865794821,21.8853553167946,14.6379870662525,51.3148658796282,21.8853553358652,-3.69530939599617,0
0.62,51.2306647291967,21.9653783628086,14.7824841938782,51.2306648114364,21.9653783813392,-3.79979500092918,0
0.63,51.1477602734753,22.0438320146657,14.9265938503611,51.1477603531122,22.043832032644,-3.90467783180701,0
0.64,51.0661156855814,22.1207660842667,15.0703290315158,51.0661157625936,22.1207661016832,-4.00994597849157,0
0.65,50.9856957750054,22.1962281670477,15.2137021231352,50.9856958493828,22.1962281838957,-4.1155880290559,0
0.66,50.9064668159843,22.2702637700919,15.3567249379168,50.9064668877282,22.2702637863675,-4.22159304265419,0
0.67,50.8283964667108,22.3429164310816,15.4994087496498,50.8283965358302,22.3429164467837,-4.32795052423269,0
0.68,50.7514536940687,22.4142278288739,15.6417643249038,50.7514537605846,22.414227844003,-4.43465040093106,0
0.69,50.6756087034487,22.4842378864027,15.7838019524351,50.6756087673887,22.4842379009616,-4.54168300003754,0
0.7,50.6008328732319,22.5529848665428,15.9255314705054,50.6008329346308,22.552984880536,-4.64903902837522,0
0.71,50.5270986935752,22.6205054615101,16.0669622922871,50.5270987524751,22.6205054749441,-4.7567095530073,0
0.72,50.4543797091582,22.68683487632,16.2081034295145,50.4543797656069,22.6868348892021,-4.86468598315978,0
0.73,50.3826504655909,22.7520069067698,16.3489635145239,50.3826505196417,22.752006919109,-4.97296005326926,0
0.74,50.3118864591992,22.8160540123802,16.489550820812,50.311886510908,22.8160540241866,-5.08152380707153,0
0.75,50.2420640899374,22.8790073846784,16.6298732822311,50.2420641393643,22.8790073959629,-5.19036958265461,0
0.76,50.1731606171926,22.9408970111818,16.7699385109271,50.173160664402,22.9408970219558,-5.29948999840537,0
0.77,50.1051541182776,23.0017517354012,16.9097538141183,50.1051541633344,23.0017517456773,-5.40887793978597,0
0.78,50.0380234494034,23.061599313163,17.0493262098031,50.0380234923743,23.0615993229545,-5.51852654688157,0
0.79,49.9717482089682,23.1204664655148,17.1886624414787,49.9717482499222,23.1204664748349,-5.62842920266505,0
0.8,49.9063087029945,23.1783789284646,17.3277689919418,49.9063087420001,23.1783789373273,-5.73857952192899,0
0.81,49.8416859125595,23.2353614997776,17.466652096242,49.8416859496877,23.2353615081966,-5.8489713408403,0
0.82,49.777861463092,23.2914380830382,17.6053177538473,49.777861498412,23.2914380910277,-5.95959870707454,0
0.83,49.7148175953987,23.3466317291673,17.7437717400789,49.7148176289804,23.3466317367416,-6.07045587049243,0
0.84,49.6525371383092,23.4009646755716,17.8820196168682,49.6525371702203,23.4009646827454,-6.18153727432196,0
0.85,49.5910034828297,23.4544583830822,18.0200667428818,49.5910035131386,23.4544583898699,-6.29283754681421,0
0.86,49.5302005577091,23.5071335708341,18.1579182830597,49.5302005864818,23.50713357725,-6.40435149334176,0
0.87,49.4701128063233,23.5590102492204,18.2955792176057,49.4701128336267,23.5590102552785,-6.51607408891193,0
0.88,49.4107251647914,23.6101077510514,18.433054350469,49.410725190689,23.6101077567656,-6.62800047106883,0
0.89,49.3520230412502,23.6604447610297,18.5703483173488,49.3520230658047,23.6604447664138,-6.74012593316047,0
0.9,49.2939922962089,23.7100393436548,18.7074655932554,49.2939923194815,23.7100393487224,-6.85244591794759,0
0.91,49.2366192239216,23.7589089696522,18.8444104996561,49.2366192459711,23.7589089744168,-6.96495601153474,0
0.92,49.1798905347103,23.8070705410232,18.9811872112325,49.179890555593,23.807070545498,-7.07765193760319,0
0.93,49.1237933381817,23.8545404147982,19.1177997622753,49.123793357955,23.8545404189954,-7.19052955192865,0
0.94,49.0683151272932,23.9013344255735,19.2542520527376,49.0683151460095,23.9013344295059,-7.30358483716606,0
0.95,49.0134437631958,23.9474679069096,19.3905478539711,49.013443780907,23.9474679105891,-7.41681389788723,0
0.96,48.9591674608323,23.9929557116515,19.5266908141615,48.9591674775897,23.9929557150897,-7.53021295585552,0
0.97,48.9054747752316,24.0378122312442,19.662684463485,48.9054747910819,24.0378122344524,-7.64377834552487,0
0.98,48.852354588461,24.0820514140953,19.7985322190001,48.85235460345,24.0820514170845,-7.75750650975017,0
0.99,48.7997960972036,24.125686783044,19.9342373892924,48.7997961113754,24.1256867858252,-7.87139399569744,0
1,48.7477888009207,24.168731451989,20.0698031788865,48.747788814318,24.1687314545723,-7.98543745094237,0
1.01,48.6963224905674,24.211198141719,20.205232692439,48.6963225032299,24.2111981441145,-8.09963361974735,0
1.02,48.6453872378325,24.253099194996,20.3405289387252,48.6453872497994,24.253099197213,-8.21397933950702,0
1.03,48.5949733848707,24.2944465909296,20.4756948344318,48.5949733961787,24.2944465929773,-8.32847153735321,0
1.04,48.5450715345028,24.3352519586841,20.6107332077658,48.545071545187,24.3352519605716,-8.44310722691112,0
