1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 62.73 0 -1.2)_mu=0_STABLE=0-100(seg=0.00).png,-65.129928,0.000000,17.208539,49.393033,0.000000,-8.112928
1.12,-68.8885833587098,5.92310119584425e-11,19.7208944036857,44.0103061145988,-6.06387969757883e-12,-10.4218110150215,0
1.13,-69.0151756918461,5.93793684912405e-11,19.807167498399,43.8242064996341,-6.48908616880125e-12,-10.5007460200972,0
1.14,-69.1415686931724,5.95915739260866e-11,19.8934153512488,43.6381173804379,-6.96998823606731e-12,-10.5796372170711,0
1.15,-69.2677624531089,5.98659818312546e-11,19.9796378501826,43.452042272904,-7.53067532581453e-12,-10.6584847296892,0
1.16,-69.3937570539498,6.00147114795248e-11,20.065834884097,43.2659846267901,-7.92299550653761e-12,-10.7372886782378,0
1.17,-69.5195525701062,6.02758365839556e-11,20.1520063428141,43.0799478275754,-8.51554948517325e-12,-10.8160491796487,0
1.18,-69.6451490683428,6.07093020271662e-11,20.2381521170594,42.8939351982519,-9.15790993199665e-12,-10.8947663476015,0
1.19,-69.7705466080073,6.08272905207576e-11,20.3242720984405,42.7079500010555,-9.8097942275436e-12,-10.9734402926219,0
1.2,-69.8957452412538,6.11572115033098e-11,20.4103661794263,42.5219954391384,-1.02634810711572e-11,-11.0520711221772,0
1.21,-70.0207450132577,6.12891896170925e-11,20.4964342533269,42.3360746581899,-1.07573292213294e-11,-11.1306589407693,0
1.22,-70.1455459624269,6.15914969810336e-11,20.5824762142752,42.1501907479951,-1.13737401421165e-11,-11.2092038500237,0
1.23,-70.2701481206053,6.19366273467967e-11,20.6684919572075,41.9643467439504,-1.19849092715074e-11,-11.2877059487767,0
1.24,-70.3945515132706,6.21633799663539e-11,20.7544813778467,41.7785456285241,-1.25423889312394e-11,-11.3661653331589,0
1.25,-70.5187561597278,6.25007384300138e-11,20.8404443726845,41.5927903326693,-1.32263073191315e-11,-11.4445820966773,0
1.26,-70.6427620732954,6.2885145911535e-11,20.9263808389655,41.4070837371931,-1.38234178030867e-11,-11.522956330294,0
1.27,-70.7665692614882,6.31231104354821e-11,21.0122906746712,41.2214286740786,-1.45122401915649e-11,-11.6012881225026,0
1.28,-70.8901777261933,6.34748075161777e-11,21.0981737785044,41.0358279277676,-1.50819200522362e-11,-11.6795775594026,0
1.29,-71.013587463843,6.37611618058978e-11,21.1840300498755,40.8502842363978,-1.57124740913608e-11,-11.7578247247713,0
1.3,-71.1367984655821,6.41066512397269e-11,21.2698593888874,40.6648002930028,-1.63931572470753e-11,-11.8360297001338,0
1.31,-71.2598107174301,6.44360341279763e-11,21.3556616963225,40.4793787466746,-1.70041238881579e-11,-11.9141925648303,0
1.32,-71.3826242004406,6.47446819996075e-11,21.4414368736294,40.2940222036876,-1.77915257099963e-11,-11.9923133960826,0
1.33,-71.5052388908554,6.53321757789581e-11,21.5271848229107,40.1087332285859,-1.84936075488427e-11,-12.070392269057,0
1.34,-71.6276547602535,6.56621634040509e-11,21.6129054469103,39.9235143452432,-1.94027986494434e-11,-12.148429256927,0
1.35,-71.7498717756994,6.60898493703618e-11,21.6985986490025,39.7383680378779,-2.02488032605833e-11,-12.2264244309328,0
1.36,-71.8718898998843,6.65523830394286e-11,21.7842643331803,39.5532967520475,-2.109558679221e-11,-12.3043778604404,0
1.37,-71.9937101655371,-5.7823981801158e-07,21.8699025479807,39.3682844017048,-4.30779566975605e-06,-12.3822893373079,0
1.38,-72.1153303538132,-5.64009473730601e-07,21.9555129072832,39.1833707154807,-4.21877863474203e-06,-12.4601594827977,0
1.39,-72.2367515144637,-5.50092929409163e-07,22.0410954643215,38.9985391571639,-4.13147021998371e-06,-12.5379880811104,0
1.4,-72.3579735941696,-5.36561534511147e-07,22.1266501254712,38.8137920258133,-4.04632552744762e-06,-12.615775194664,0
1.41,-72.4789965357558,-5.23402958989196e-07,22.2121767976649,38.6291315877442,-3.96328205619009e-06,-12.6935208842731,0
1.42,-72.5998202784558,-5.10605799538145e-07,22.2976753883951,38.4445600759339,-3.88228000831707e-06,-12.7712252091951,0
1.43,-72.7204447580316,-4.9815902407953e-07,22.3831458057066,38.2600796908163,-3.80326058111238e-06,-12.8488882271774,0
1.44,-72.8408699068898,-4.86051505125314e-07,22.4685879581878,38.0756926010543,-3.7261676520961e-06,-12.9265099945043,0
1.45,-72.9610956541947,-4.74272869371069e-07,22.5540017549629,37.8914009442913,-3.65094619221226e-06,-13.0040905660419,0
1.46,-73.0811219259796,-4.62813528492737e-07,22.6393871056846,37.7072068278743,-3.57754335704886e-06,-13.0816299952826,0
1.47,-73.2009486452539,-4.51662887415803e-07,22.7247439205269,37.5231123295633,-3.50590818390742e-06,-13.1591283343874,0
1.48,-73.32057573211,-4.40811888671733e-07,22.8100721101781,37.3391194982122,-3.43599059899214e-06,-13.2365856342277,0
1.49,-73.4400031038248,-4.3025168316611e-07,22.8953715858341,37.155230354435,-3.36774303080246e-06,-13.3140019444258,0
1.5,-73.5592306749616,-4.1997322212787e-07,22.9806422591924,36.9714468912483,-3.30111846564597e-06,-13.3913773133947,0
1.51,-73.678258357468,-4.09968189374636e-07,23.0658840424457,36.7877710746988,-3.236071963497e-06,-13.468711788376,0
1.52,-73.7970860607718,-4.00227894357908e-07,23.1510968482765,36.6042048444692,-3.17256030490671e-06,-13.546005415478,0
1.53,-73.9157136918746,-3.9074501355504e-07,23.2362805898507,36.4207501144688,-3.11054058063122e-06,-13.6232582397112,0
1.54,-74.034141155445,-3.81511420602734e-07,23.3214351808133,36.2374087734044,-3.04997221126351e-06,-13.7004703050248,0
1.55,-74.1523683539064,-3.7251994577242e-07,23.4065605352828,36.0541826853379,-2.99081527844504e-06,-13.7776416543405,0
1.56,-74.2703951875263,-3.63763297315297e-07,23.4916565678463,35.8710736902249,-2.93303150939155e-06,-13.8547723295869,0
1.57,-74.3882215545017,-3.5523446413957e-07,23.5767231935549,35.6880836044389,-2.87658335367067e-06,-13.9318623717315,0
1.58,-74.5058473510426,-3.46926997093697e-07,23.6617603279196,35.5052142212814,-2.82143465192303e-06,-14.0089118208136,0
1.59,-74.6232724714548,-3.38834160145372e-07,23.7467678869065,35.3224673114763,-2.76755047536742e-06,-14.085920715975,0
1.6,-74.7404968082201,-3.30949822453753e-07,23.8317457869333,35.1398446236497,-2.71489692635699e-06,-14.1628890954903,0
1.61,-74.8575202520747,-3.23267701458647e-07,23.9166939448653,34.9573478847984,-2.6634411686181e-06,-14.2398169967971,0
1.62,-74.9743426920869,-3.15782080574862e-07,24.0016122780117,34.774978800741,-2.61315104074615e-06,-14.3167044565246,0
1.63,-75.0909640157321,-3.08487136364312e-07,24.0865007041222,34.5927390565627,-2.56399592866909e-06,-14.3935515105216,0
1.64,-75.2073841089669,-3.01377459573657e-07,24.1713591413836,34.4106303170396,-2.5159456181964e-06,-14.4703581938847,0
1.65,-75.3236028563012,-2.94447446338737e-07,24.2561875084168,34.2286542270579,-2.46897097667433e-06,-14.5471245409845,0
1.66,-75.4396201408697,-2.87692285317904e-07,24.3409857242742,34.0468124120177,-2.42304373414617e-06,-14.6238505854921,0
1.67,-75.5554358445009,-2.81106849734985e-07,24.4257537084361,33.8651064782269,-2.37813665625742e-06,-14.7005363604049,0
1.68,-75.6710498477851,-2.74686146397706e-07,24.5104913808087,33.6835380132837,-2.33422302067451e-06,-14.7771818980711,0
1.69,-75.7864620301421,-2.68425761946198e-07,24.5951986617216,33.5021085864468,-2.29127704539766e-06,-14.8537872302145,0
1.7,-75.9016722698853,-2.62320880710896e-07,24.6798754719252,33.3208197490008,-2.24927372232883e-06,-14.9303523879582,0
1.71,-76.016680444287,-2.56367659998927e-07,24.7645217325888,33.1396730346044,-2.2081887263662e-06,-15.0068774018477,0
1.72,-76.1314864296413,-2.50561293309391e-07,24.8491373652982,32.9586699596319,-2.167998497336e-06,-15.0833623018737,0
1.73,-76.2460901013248,-2.44897665754385e-07,24.9337222920542,32.7778120235096,-2.12868009662973e-06,-15.1598071174945,0
1.74,-76.3604913338586,-2.39373169070483e-07,25.0182764352703,32.5971007090355,-2.09021130039618e-06,-15.2362118776573,0
1.75,-76.474690000967,-2.33983684899252e-07,25.1027997177717,32.4165374826945,-2.05257080673153e-06,-15.3125766108196,0
