2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,0.000000,-15.114552,-80.976651,-0.000000,15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=1.51).png,-214.161933,0.000000,-39.974013,-214.161933,-0.000000,39.974013
0.5,-106.548225201794,1.38400798113669e-09,-19.8875686501825,-106.548225201794,-1.38400886909827e-09,19.8875686501825,0
0.51,-107.613707453436,1.33916061529835e-09,-20.0864443366228,-107.613707453436,-1.3391800641506e-09,20.0864443366228,0
0.52,-108.67918970509,1.29576030634404e-09,-20.285320023065,-108.67918970509,-1.29578194680256e-09,20.285320023065,0
0.53,-109.744671956755,1.25407418694393e-09,-20.4841957095089,-109.744671956755,-1.25404173720658e-09,20.4841957095089,0
0.54,-110.810154208429,1.21378085555547e-09,-20.6830713959545,-110.810154208429,-1.21387895481856e-09,20.6830713959545,0
0.55,-111.875636460114,1.17502765590444e-09,-20.8819470824018,-111.875636460114,-1.17495346806974e-09,20.8819470824018,0
0.56,-112.941118711807,1.13749276729573e-09,-21.0808227688505,-112.941118711807,-1.13767939361777e-09,21.0808227688505,0
0.57,-114.006600963509,1.10125324484511e-09,-21.2796984553007,-114.006600963509,-1.10119398495645e-09,21.2796984553007,0
0.58,-115.07208321522,1.06626838760303e-09,-21.4785741417523,-115.07208321522,-1.0662260607839e-09,21.4785741417523,0
0.59,-116.137565466938,1.03246254276081e-09,-21.6774498282053,-116.137565466938,-1.032465373179e-09,21.6774498282053,0
0.6,-117.203047718664,9.99679788601937e-10,-21.8763255146595,-117.203047718664,-9.99742927549133e-10,21.8763255146595,0
0.61,-118.268529970398,9.68037346246384e-10,-22.0752012011149,-118.268529970398,-9.6807588182736e-10,22.0752012011149,0
0.62,-119.334012222138,9.37524611329538e-10,-22.2740768875715,-119.334012222138,-9.37440324368446e-10,22.2740768875716,0
0.63,-120.399494473885,9.07908416850067e-10,-22.4729525740293,-120.399494473885,-9.07767750291805e-10,22.4729525740293,0
0.64,-121.464976725638,8.79486842294414e-10,-22.6718282604879,-121.464976725638,-8.79655174005831e-10,22.6718282604879,0
0.65,-122.530458977397,8.52258830999139e-10,-22.8707039469474,-122.530458977397,-8.52360116298731e-10,22.8707039469474,0
0.66,-123.595941229163,8.26321611396147e-10,-23.0695796334078,-123.595941229163,-8.26308415354665e-10,23.0695796334078,0
0.67,-124.661423480934,8.01559261890197e-10,-23.268455319869,-124.661423480934,-8.01519950454146e-10,23.2684553198691,0
0.68,-125.72690573271,7.77601757723928e-10,-23.4673310063311,-125.72690573271,-7.77624972660845e-10,23.4673310063311,0
0.69,-126.792387984492,7.54436041416895e-10,-23.666206692794,-126.792387984492,-7.54522545571429e-10,23.666206692794,0
0.7,-127.857870236279,7.3225990158618e-10,-23.8650823792576,-127.857870236279,-7.32279570965153e-10,23.8650823792576,0
0.71,-128.92335248807,7.10834468977545e-10,-24.063958065722,-128.92335248807,-7.10857910729557e-10,24.063958065722,0
0.72,-129.988834739865,6.90028641864293e-10,-24.2628337521871,-129.988834739865,-6.90155482025931e-10,24.2628337521871,0
0.73,-131.054316991665,6.69927660438066e-10,-24.4617094386528,-131.054316991665,-6.70218130343139e-10,24.4617094386528,0
0.74,-132.119799243469,6.51038656470336e-10,-24.6605851251192,-132.119799243469,-6.50939328155666e-10,24.6605851251192,0
0.75,-133.185281495277,6.32449691901314e-10,-24.8594608115862,-133.185281495278,-6.3256774742327e-10,24.8594608115861,0
0.76,-134.25076374709,6.14813310179964e-10,-25.0583364980537,-134.250763747089,-6.1496233290121e-10,25.0583364980537,0
0.77,-135.316245998905,5.98089360372492e-10,-25.2572121845217,-135.316245998905,-5.98120224572576e-10,25.2572121845217,0
0.78,-136.381728250724,5.81981966416532e-10,-25.4560878709903,-136.381728250724,-5.8192735818887e-10,25.4560878709903,0
0.79,-137.447210502547,5.66369855528603e-10,-25.6549635574593,-137.447210502547,-5.66399454790013e-10,25.6549635574593,0
0.8,-138.512692754373,5.51850288339414e-10,-25.8538392439288,-138.512692754373,-5.51494468798916e-10,25.8538392439288,0
0.81,-139.578175006202,5.37374578862826e-10,-26.0527149303988,-139.578175006202,-5.37544844899339e-10,26.0527149303987,0
0.82,-140.643657258033,5.2360450773347e-10,-26.2515906168692,-140.643657258034,-5.23655095956317e-10,26.2515906168692,0
0.83,-141.709139509868,5.1070574429591e-10,-26.45046630334,-141.709139509868,-5.10025772483547e-10,26.4504663033401,0
0.84,-142.774621761706,4.97437422958442e-10,-26.6493419898114,-142.774621761706,-4.97811440398725e-10,26.6493419898113,0
0.85,-143.840104013546,4.85433567908727e-10,-26.8482176762831,-143.840104013546,-4.85249131783501e-10,26.8482176762831,0
0.86,-144.905586265388,4.72959427589952e-10,-27.0470933627553,-144.905586265388,-4.73276838834809e-10,27.0470933627552,0
0.87,-145.971068517234,4.61460101033873e-10,-27.2459690492279,-145.971068517234,-4.61441718386038e-10,27.2459690492279,0
0.88,-147.036550769081,4.50161886499795e-10,-27.4448447357008,-147.036550769081,-4.49876164099194e-10,27.4448447357009,0
0.89,-148.102033020931,4.39338538314217e-10,-27.6437204221742,-148.102033020931,-4.3893080728212e-10,27.6437204221742,0
0.9,-149.167515272783,4.28971282866002e-10,-27.8425961086478,-149.167515272783,-4.28673466840689e-10,27.8425961086479,0
0.91,-150.232997524636,4.18207218204694e-10,-28.041471795122,-150.232997524636,-4.18433214943378e-10,28.0414717951219,0
0.92,-151.298479776492,4.08528977899163e-10,-28.2403474815963,-151.298479776492,-4.0829449294167e-10,28.2403474815963,0
0.93,-152.36396202835,3.98560501334126e-10,-28.439223168071,-152.36396202835,-3.98837562260411e-10,28.439223168071,0
0.94,-153.42944428021,3.89011722465825e-10,-28.6380988545461,-153.42944428021,-3.89190848710912e-10,28.6380988545461,0
0.95,-154.494926532072,3.80117538465417e-10,-28.8369745410214,-154.494926532072,-3.79931443077186e-10,28.8369745410214,0
0.96,-155.560408783935,3.7131237711277e-10,-29.035850227497,-155.560408783935,-3.71295191207294e-10,29.035850227497,0
0.97,-156.6258910358,3.62759107800335e-10,-29.2347259139729,-156.6258910358,-3.6239366813396e-10,29.2347259139729,0
0.98,-157.691373287667,3.54273585511169e-10,-29.4336016004491,-157.691373287667,-3.54337627381934e-10,29.4336016004491,0
0.99,-158.756855539535,3.46249645708646e-10,-29.6324772869255,-158.756855539535,-3.45992815452799e-10,29.6324772869255,0
1,-159.822337791405,3.38159931805547e-10,-29.8313529734022,-159.822337791405,-3.37939880831577e-10,29.8313529734022,0
1.01,-160.887820043277,3.3028560865022e-10,-30.0302286598792,-160.887820043277,-3.30133441417413e-10,30.0302286598792,0
1.02,-161.953302295149,3.2263825649765e-10,-30.2291043463564,-161.953302295149,-3.23366738442556e-10,30.2291043463562,0
1.03,-163.018784547023,3.14275740305979e-10,-30.4279800328341,-163.018784547023,-3.17091033551903e-10,30.4279800328334,0
1.04,-164.084266798899,3.09047968856738e-10,-30.6268557193113,-164.084266798899,-3.08325368708617e-10,30.6268557193115,0
1.05,-165.149749050775,3.0385680527701e-10,-30.8257314057887,-165.149749050775,-2.99462002829702e-10,30.8257314057898,0
1.06,-166.215231302653,2.95399554101593e-10,-31.0246070922672,-166.215231302653,-2.94750502976247e-10,31.0246070922674,0
1.07,-167.280713554532,2.88576405826912e-10,-31.2234827787455,-167.280713554532,-2.88678629720325e-10,31.2234827787455,1
1.08,-168.346195806413,2.83543512562441e-10,-31.4223584652236,-168.346195806413,-2.80796506706149e-10,31.4223584652243,1
1.09,-169.411678058294,2.77775392314508e-10,-31.6212341517022,-169.411678058294,-2.74814156023609e-10,31.621234151703,1
1.1,-170.477160310177,2.70619846627282e-10,-31.8201098381813,-170.477160310177,-2.70776856882773e-10,31.8201098381813,1
1.11,-171.54264256206,2.65216157737704e-10,-32.0189855246603,-171.54264256206,-2.65291097683445e-10,32.0189855246602,1
1.12,-172.608124813945,2.59199706186333e-10,-32.2178612111396,-172.608124813945,-2.60349244441717e-10,32.2178612111392,1
1.13,-173.673607065831,2.54382124631296e-10,-32.4167368976187,-173.673607065831,-2.54597372806482e-10,32.4167368976187,1
1.14,-174.739089317717,2.4965543803275e-10,-32.6156125840981,-174.739089317717,-2.4921157346959e-10,32.6156125840982,1
1.15,-175.804571569605,2.45213429097592e-10,-32.8144882705776,-175.804571569605,-2.43695189136757e-10,32.814488270578,1
