3
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-91.66 53.58 13.39 -91.66 53.58 13.39)_mu=0_UNSTABLE(seg=0.00).png,-91.662233,53.575309,13.393821,-91.662233,53.575309,13.393821
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-91.66 53.58 13.39 -91.66 53.58 13.39)_mu=0_UNSTABLE(seg=0.12).png,-91.662233,53.575309,13.393821,-91.662233,53.575309,13.393821
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-91.66 53.58 13.39 -91.66 53.58 13.39)_mu=0_UNSTABLE(seg=1.12).png,-91.662233,53.575309,13.393821,-91.662233,53.575309,13.393821
1.47,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.48,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.49,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.5,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.51,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.52,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.53,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.54,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.55,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.56,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.57,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.58,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.59,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.6,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.61,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.62,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.63,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.64,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.65,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.66,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.67,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.68,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.69,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
